yr,mon,day,CO2 ppm
1974,5,19,333.34
1974,5,26,332.95
1974,6,2,332.32
1974,6,9,332.18
1974,6,16,332.37
1974,6,23,331.59
1974,6,30,331.68
1974,7,7,331.44
1974,7,14,330.85
1974,7,21,330.76
1974,7,28,329.80
1974,8,4,329.85
1974,8,11,329.05
1974,8,18,329.06
1974,8,25,328.33
1974,9,1,328.05
1974,9,8,327.57
1974,9,15,326.73
1974,9,22,326.96
1974,9,29,327.31
1974,10,6,327.07
1974,10,13,327.23
1974,10,20,327.40
1974,10,27,327.64
1974,11,3,327.80
1974,11,10,328.50
1974,11,17,328.56
1974,11,24,328.46
1974,12,1,328.76
1974,12,8,329.39
1974,12,15,329.77
1974,12,22,329.96
1974,12,29,330.38
1975,1,5,330.43
1975,1,12,330.59
1975,1,19,330.80
1975,1,26,331.22
1975,2,2,331.64
1975,2,9,331.12
1975,2,16,331.41
1975,2,23,331.96
1975,3,2,331.73
1975,3,9,331.61
1975,3,16,332.11
1975,3,23,331.86
1975,3,30,333.30
1975,4,6,332.79
1975,4,13,333.31
1975,4,20,333.39
1975,4,27,333.49
1975,5,4,333.94
1975,5,11,334.25
1975,5,18,333.45
1975,5,25,334.00
1975,6,1,333.96
1975,6,8,333.32
1975,6,15,333.22
1975,6,22,333.47
1975,6,29,333.01
1975,7,6,332.32
1975,7,13,331.83
1975,7,20,331.36
1975,7,27,331.21
1975,8,3,331.01
1975,8,10,330.38
1975,8,17,329.48
1975,8,24,328.73
1975,8,31,329.24
1975,9,7,329.42
1975,9,14,327.95
1975,9,21,327.96
1975,9,28,327.97
1975,10,5,-999.99
1975,10,12,328.35
1975,10,19,328.63
1975,10,26,328.80
1975,11,2,329.03
1975,11,9,329.01
1975,11,16,329.25
1975,11,23,330.18
1975,11,30,329.72
1975,12,7,-999.99
1975,12,14,-999.99
1975,12,21,-999.99
1975,12,28,-999.99
1976,1,4,331.33
1976,1,11,331.62
1976,1,18,331.66
1976,1,25,331.87
1976,2,1,332.45
1976,2,8,332.51
1976,2,15,332.64
1976,2,22,333.49
1976,2,29,332.43
1976,3,7,332.99
1976,3,14,333.56
1976,3,21,334.15
1976,3,28,334.67
1976,4,4,335.06
1976,4,11,333.65
1976,4,18,334.50
1976,4,25,334.93
1976,5,2,334.17
1976,5,9,334.33
1976,5,16,335.29
1976,5,23,335.38
1976,5,30,334.43
1976,6,6,334.25
1976,6,13,334.18
1976,6,20,334.02
1976,6,27,-999.99
1976,7,4,333.59
1976,7,11,333.48
1976,7,18,332.41
1976,7,25,332.24
1976,8,1,331.69
1976,8,8,330.7
1976,8,15,330.44
1976,8,22,330.23
1976,8,29,330.43
1976,9,5,329.54
1976,9,12,329.54
1976,9,19,328.58
1976,9,26,328.03
1976,10,3,328.55
1976,10,10,328.54
1976,10,17,329.27
1976,10,24,328.77
1976,10,31,329.32
1976,11,7,330.46
1976,11,14,330.17
1976,11,21,330.55
1976,11,28,330.68
1976,12,5,331.19
1976,12,12,332.39
1976,12,19,331.7
1976,12,26,332.39
1977,1,2,332.29
1977,1,9,332.49
1977,1,16,332.88
1977,1,23,332.98
1977,1,30,332.93
1977,2,6,333.21
1977,2,13,333.15
1977,2,20,333.09
1977,2,27,334.34
1977,3,6,334.27
1977,3,13,335.18
1977,3,20,335.32
1977,3,27,335.16
1977,4,3,335.96
1977,4,10,335.85
1977,4,17,336.3
1977,4,24,336.58
1977,5,1,337
1977,5,8,336.58
1977,5,15,337.14
1977,5,22,336.97
1977,5,29,336.63
1977,6,5,336.12
1977,6,12,336.01
1977,6,19,336.34
1977,6,26,335.74
1977,7,3,335.46
1977,7,10,335.23
1977,7,17,334.59
1977,7,24,334.09
1977,7,31,333.42
1977,8,7,332.54
1977,8,14,332.84
1977,8,21,331.82
1977,8,28,332.25
1977,9,4,331.18
1977,9,11,331.49
1977,9,18,330.94
1977,9,25,330.92
1977,10,2,330.93
1977,10,9,331.54
1977,10,16,331.27
1977,10,23,331.36
1977,10,30,331.87
1977,11,6,332.08
1977,11,13,332.53
1977,11,20,332.92
1977,11,27,332.65
1977,12,4,333.34
1977,12,11,333.4
